Date,Price,Action,Position,Current Capital
2018-01-02,8.22,,0.0,100000.0
2018-01-03,8.24,,0.0,100000.0
2018-01-04,8.18,,0.0,100000.0
2018-01-05,8.19,,0.0,100000.0
2018-01-08,8.07,,0.0,100000.0
2018-01-09,8.19,,0.0,100000.0
2018-01-10,8.28,,0.0,100000.0
2018-01-11,8.21,,0.0,100000.0
2018-01-12,8.26,,0.0,100000.0
2018-01-15,8.2,,0.0,100000.0
2018-01-16,8.45,,0.0,100000.0
2018-01-17,8.58,,0.0,100000.0
2018-01-18,8.89,,0.0,100000.0
2018-01-19,9.25,,0.0,100000.0
2018-01-22,9.31,,0.0,100000.0
2018-01-23,9.57,,0.0,100000.0
2018-01-24,10.02,,0.0,100000.0
2018-01-25,9.82,,0.0,100000.0
2018-01-26,9.67,,0.0,100000.0
2018-01-29,9.58,,0.0,100000.0
2018-01-30,9.46,,0.0,100000.0
2018-01-31,9.85,,0.0,100000.0
2018-02-01,9.85,,0.0,100000.0
2018-02-02,9.53,,0.0,100000.0
2018-02-05,9.63,,0.0,100000.0
2018-02-06,9.36,,0.0,100000.0
2018-02-07,9.56,,0.0,100000.0
2018-02-08,9.69,,0.0,100000.0
2018-02-09,9.79,,0.0,100000.0
2018-02-12,10.05,,0.0,100000.0
2018-02-13,10.52,,0.0,100000.0
2018-02-14,10.22,,0.0,100000.0
2018-02-15,10.16,,0.0,100000.0
2018-02-16,10.13,,0.0,100000.0
2018-02-19,10.5,,0.0,100000.0
2018-02-20,10.34,,0.0,100000.0
2018-02-21,10.18,,0.0,100000.0
2018-02-22,10.34,,0.0,100000.0
2018-02-23,10.43,,0.0,100000.0
2018-02-26,10.25,,0.0,100000.0
2018-02-27,10.77,,0.0,100000.0
2018-02-28,10.73,,0.0,100000.0
2018-03-01,10.62,,0.0,100000.0
2018-03-02,10.77,,0.0,100000.0
2018-03-05,10.99,,0.0,100000.0
2018-03-06,11.1,,0.0,100000.0
2018-03-07,11.27,,0.0,100000.0
2018-03-08,11.75,,0.0,100000.0
2018-03-09,11.79,,0.0,100000.0
2018-03-12,11.76,BUY,8503.0,4.720000000001164
2018-03-13,12.11,,8503.0,4.720000000001164
2018-03-14,11.79,,8503.0,4.720000000001164
2018-03-15,11.74,,8503.0,4.720000000001164
2018-03-16,11.73,,8503.0,4.720000000001164
2018-03-19,11.62,,8503.0,4.720000000001164
2018-03-20,12.11,,8503.0,4.720000000001164
2018-03-21,13.27,,8503.0,4.720000000001164
2018-03-22,12.96,,8503.0,4.720000000001164
2018-03-23,13.23,,8503.0,4.720000000001164
2018-03-26,13.61,,8503.0,4.720000000001164
2018-03-27,14.38,,8503.0,4.720000000001164
2018-03-28,13.75,,8503.0,4.720000000001164
2018-03-29,14.04,,8503.0,4.720000000001164
2018-04-03,14.06,,8503.0,4.720000000001164
2018-04-04,13.83,,8503.0,4.720000000001164
2018-04-05,13.41,,8503.0,4.720000000001164
2018-04-06,13.76,,8503.0,4.720000000001164
2018-04-09,14.11,,8503.0,4.720000000001164
2018-04-10,14.16,,8503.0,4.720000000001164
2018-04-11,14.24,,8503.0,4.720000000001164
2018-04-12,14.44,,8503.0,4.720000000001164
2018-04-13,14.84,,8503.0,4.720000000001164
2018-04-16,14.92,,8503.0,4.720000000001164
2018-04-17,14.68,,8503.0,4.720000000001164
2018-04-18,14.84,,8503.0,4.720000000001164
2018-04-19,14.42,,8503.0,4.720000000001164
2018-04-20,14.02,,8503.0,4.720000000001164
2018-04-23,13.87,,8503.0,4.720000000001164
2018-04-24,14.22,,8503.0,4.720000000001164
2018-04-25,14.26,,8503.0,4.720000000001164
2018-04-26,14.51,,8503.0,4.720000000001164
2018-04-27,14.58,,8503.0,4.720000000001164
2018-04-30,14.6,,8503.0,4.720000000001164
2018-05-01,14.41,,8503.0,4.720000000001164
2018-05-02,14.08,,8503.0,4.720000000001164
2018-05-03,13.98,,8503.0,4.720000000001164
2018-05-04,14.04,,8503.0,4.720000000001164
2018-05-07,14.65,,8503.0,4.720000000001164
2018-05-08,14.63,,8503.0,4.720000000001164
2018-05-09,15.05,,8503.0,4.720000000001164
2018-05-10,15.66,,8503.0,4.720000000001164
2018-05-11,15.68,,8503.0,4.720000000001164
2018-05-14,15.7,,8503.0,4.720000000001164
2018-05-15,15.38,,8503.0,4.720000000001164
2018-05-16,16.25,,8503.0,4.720000000001164
2018-05-17,16.39,,8503.0,4.720000000001164
2018-05-18,16.38,,8503.0,4.720000000001164
2018-05-21,16.68,,8503.0,4.720000000001164
2018-05-22,17.08,,8503.0,4.720000000001164
